epoch,efficiency_accuracy,efficiency_auc,efficiency_loss,learning_rate,loss,power_loss,power_mae,val_efficiency_accuracy,val_efficiency_auc,val_efficiency_loss,val_loss,val_power_loss,val_power_mae
11,0.9834625124931335,0.9985708594322205,0.04490039125084877,0.0010000000474974513,0.9066832661628723,0.8619264364242554,0.7322869896888733,0.9901859760284424,0.9991052150726318,0.03782699629664421,0.1440800428390503,0.10545547306537628,0.24094051122665405
12,0.9847545027732849,0.9987521767616272,0.04121434688568115,0.0010000000474974513,0.889822781085968,0.8486900925636292,0.7269408106803894,0.9912189841270447,0.9991337656974792,0.03723430633544922,0.09131384640932083,0.05331052467226982,0.17438147962093353
13,0.9832041263580322,0.998809814453125,0.04174177721142769,0.0010000000474974513,0.8408384323120117,0.7991327047348022,0.7065134644508362,0.9907024502754211,0.9991710186004639,0.036808159202337265,0.08069643378257751,0.04301796108484268,0.16437475383281708
14,0.9843669533729553,0.9986043572425842,0.04215015843510628,0.0010000000474974513,0.8365945219993591,0.7944698929786682,0.70697420835495,0.9891529083251953,0.999158501625061,0.037871986627578735,0.14837075769901276,0.109156034886837,0.2511807680130005
15,0.9843669533729553,0.9988310933113098,0.040059126913547516,0.0010000000474974513,0.7936369776725769,0.7535316348075867,0.6828250288963318,0.9912189841270447,0.9991840124130249,0.0353647880256176,0.0716596394777298,0.03524252399802208,0.14332547783851624
16,0.9847545027732849,0.9990167021751404,0.039550624787807465,0.0010000000474974513,0.7995834350585938,0.7600089907646179,0.6846196055412292,0.9901859760284424,0.9991974234580994,0.03339000418782234,0.1006995439529419,0.0660579577088356,0.204781636595726
17,0.9829457402229309,0.9987175464630127,0.04279559478163719,0.0010000000474974513,0.7636792063713074,0.7209335565567017,0.6673282384872437,0.9891529083251953,0.9991958737373352,0.03142653778195381,0.122528076171875,0.09000570327043533,0.24284666776657104
18,0.9837209582328796,0.9990271329879761,0.03970274701714516,0.0010000000474974513,0.7408329248428345,0.7011032700538635,0.65787273645401,0.9886363744735718,0.9991828799247742,0.03215661644935608,0.07992909103631973,0.04725147411227226,0.18188804388046265
19,0.984883725643158,0.9989863634109497,0.03915705904364586,0.0010000000474974513,0.7259004712104797,0.6866819858551025,0.6513647437095642,0.9876033067703247,0.9992417097091675,0.034042637795209885,0.05923209711909294,0.02533864788711071,0.12546494603157043
20,0.985917329788208,0.9989525079727173,0.04069899022579193,0.0010000000474974513,0.7179654240608215,0.6772797703742981,0.6471685767173767,0.9907024502754211,0.9991785287857056,0.032009307295084,0.11801183223724365,0.0864558145403862,0.25706905126571655
21,0.9847545027732849,0.9989138841629028,0.041095070540905,0.0010000000474974513,0.691575825214386,0.6506670117378235,0.6372142434120178,0.9896694421768188,0.9992233514785767,0.03420181944966316,0.08683150261640549,0.05214797332882881,0.17719662189483643
22,0.985917329788208,0.99894118309021,0.03791366145014763,0.0010000000474974513,0.6913449764251709,0.6534022688865662,0.6394985318183899,0.9912189841270447,0.9991402626037598,0.030316920951008797,0.0652066022157669,0.034404609352350235,0.15903283655643463
23,0.988630473613739,0.999173641204834,0.03480204567313194,0.0010000000474974513,0.6611629128456116,0.6264264583587646,0.6225862503051758,0.9886363744735718,0.9992940425872803,0.029196495190262794,0.055648040026426315,0.026111537590622902,0.12185122072696686
24,0.986821711063385,0.9989396929740906,0.03804894909262657,0.0010000000474974513,0.6509380340576172,0.6128425002098083,0.6141258478164673,0.9922520518302917,0.9992880821228027,0.0293041430413723,0.08495035767555237,0.055085860192775726,0.20509041845798492
25,0.986692488193512,0.9992055296897888,0.03496995568275452,0.0010000000474974513,0.6324280500411987,0.5974160432815552,0.6069083213806152,0.9876033067703247,0.9992945194244385,0.0367654412984848,0.08966905623674393,0.05241133272647858,0.1814848929643631
